,type,T1,T1_std,T2
0,mineral_oil,25.433333333333334,1.1085526098877259,22.824
1,warm_mineral_oil,28.0592448,1.1465,25.765
2,vaseline,24.0,0.778888096369861,18.824
3,glycerin,36.733333333333334,1.3523641850067185,32.471
4,water,2005.6666666666667,31.030450993965413,1947.8261
5,ethanol,1135.0,24.124676163629637,961.40475
